epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,12265.3,0.68713,0.54801,0.97822,0.90385,0.8115,0.87045,0.72332,0.53815,0.61013,0.94072,0.000627331,0.000627331,0.000627331
87,12409.7,0.7118,0.6104,0.98769,0.85529,0.84727,0.89285,0.73564,0.58667,0.58002,0.94149,0.0006179,0.0006179,0.0006179
88,12553.9,0.70603,0.56146,0.99018,0.91318,0.80135,0.87083,0.70729,0.61181,0.66372,0.95615,0.000608468,0.000608468,0.000608468
89,12698.1,0.71574,0.58484,0.99185,0.87882,0.82382,0.85403,0.70814,0.58589,0.6439,0.96309,0.000599037,0.000599037,0.000599037
90,12842.4,0.72578,0.56031,0.99347,0.85704,0.88414,0.87705,0.71172,0.58494,0.57809,0.94956,0.000589605,0.000589605,0.000589605
91,12986.6,0.73728,0.54932,0.9843,0.87664,0.85472,0.87094,0.72178,0.58004,0.58115,0.9397,0.000580174,0.000580174,0.000580174
92,13131,0.68321,0.55457,0.97871,0.86712,0.79045,0.84953,0.69239,0.56316,0.60424,0.94308,0.000570743,0.000570743,0.000570743
93,13275.6,0.7111,0.54581,0.98365,0.87867,0.77279,0.87145,0.71489,0.57016,0.59503,0.95121,0.000561311,0.000561311,0.000561311
94,13419.9,0.71494,0.54845,0.98589,0.87544,0.86361,0.89111,0.72755,0.58692,0.58313,0.96091,0.00055188,0.00055188,0.00055188
95,13564.5,0.68306,0.53856,0.98248,0.87837,0.86615,0.88975,0.74804,0.54541,0.5873,0.93655,0.000542448,0.000542448,0.000542448
96,13708.7,0.73333,0.55509,0.99899,0.89334,0.83645,0.87396,0.71895,0.58778,0.62055,0.94988,0.000533017,0.000533017,0.000533017
97,13853.2,0.70384,0.55985,0.97774,0.88015,0.87433,0.88526,0.72565,0.56423,0.58102,0.92834,0.000523586,0.000523586,0.000523586
98,13997.5,0.67982,0.54215,0.97968,0.85458,0.87436,0.88018,0.724,0.55981,0.58139,0.94007,0.000514154,0.000514154,0.000514154
99,14141.9,0.67182,0.51654,0.97191,0.86346,0.90054,0.8918,0.73074,0.56787,0.51701,0.95691,0.000504723,0.000504723,0.000504723
